29/03/2026,စုစုပေါင်း,လျှော့ငွေ,,,Whole Sale,,,အကြွေး,,,အ‌ရေအတွက်,စက်စာရင်း,"အကြွေ
  ထုတ်ပေးငွေ","စက်စာရင်း
+
အကြွေ",ငွေသားရငွေ,ဘဏ်အကောင့်,,,,,,ပို/လို (-)
ကုမ္ပဏီအမည်,,YSB,လက်ဆောင်,ရုံးလျှော့,"ဝယ်သူ
 အမည်",ကုမ္ပဏီ,စုစုပေါင်း,"ဝယ်သူ
 အမည်",ကုမ္ပဏီ,စုစုပေါင်း,,,,,,"Kpay
 (ကိုယ်ပိုင်)",MM (QR),"AYA
(Pay)","KBZ
 (အကောင့်)","AYA
(အကောင့်)","MAB
(အကောင့်)",
,,,,,,,,,,,,,,,,,,,,,,
,,"179,550",,,,,,,,,13,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Kanebo (F1),"435,000","43,500",,,,,,,,,2,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Loreal,"8,353,500","978,360",,,,,,မစုမွန် ( မြောက်ပြင် ),Loreal,"1,222,320",279,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Maybelline,"1,650,500","168,660",,,,,,မစုမွန် ( မြောက်ပြင် ),Maybelline,"246,400",53,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
,,"27,360",,,,,,,,,5,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Revlon,"520,400",,,,,,,,,,11,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Revlon (WS),"1,628,100",,,,ဦးကျော်ဇံ ( ဂန့်ဂေါ ),Revlon (WS),"562,100",,,,,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Masuri,"1,007,000","149,150",,,,,,,,,34,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
,,"5,890",,,,,,မစုမွန် ( မြောက်ပြင် ),Dabo,"510,400",33,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Eushido,,,,,,,,,,,,,,,,,,,,,,-
Coreana,"254,800","25,480",,,,,,,,,5,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Kose,"29,480","2,948",,,,,,,,,1,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Canmake,"83,600","8,360",,,,,,,,,2,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Catrice,"286,300","28,630",,,,,,,,,9,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Beauty Buffet,,,,,,,,,,,,,,,,,,,,,,-
Follow Me,,,,,,,,,,,,,,,,,,,,,,-
Follow Me (WS),,,,,,,,,,,,,,,,,,,,,,-
BSC,,,,,,,,,,,,,,,,,,,,,,-
ARTY,"174,100","17,410",,,,,,,,,2,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
KMA,"1,218,000","243,600",,,ဦးရီသောင်း,KMA,"974,400",,,,20,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Pastel,"75,000","7,500",,,,,,,,,4,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
,,,,,,,,,,,,,,,,,,,,,,
C'Care,,,,,,,,,,,,,,,,,,,,,,-
Farm Stay,"77,000","7,700",,,,,,,,,4,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
For The Skin,"119,790","11,589",,,,,,,,,8,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Garnier,"53,300",,,,,,,,,,4,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Holika,"735,600",,,,ဦးကျော်ဇံ ( ဂန့်ဂေါ ),Holika,"159,600",,,,20,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Jejudo,"107,000","10,700",,,,,,,,,7,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
JM Solution,,,,,,,,,,,,,,,,,,,,,,-
Kanebo (F2),"536,000","53,600",,,,,,,,,8,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Kiss Me,"203,400","20,340",,,,,,,,,4,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
Kracie,"79,000","7,900",,,,,,,,,2,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
LIFE,"35,000","3,500",,,,,,,,,2,"24,861,833","86,000","24,947,833","15,872,500","1,464,150","7,184,000",-,"427,000",,,-183
