31/03/2026,စုစုပေါင်း,လျှော့ငွေ,,,Whole Sale,,,အကြွေး,,,အ‌ရေအတွက်,စက်စာရင်း,"အကြွေ
  ထုတ်ပေးငွေ","စက်စာရင်း
+
အကြွေ",ငွေသားရငွေ,ဘဏ်အကောင့်,,,,,,ပို/လို (-)
ကုမ္ပဏီအမည်,,YSB,လက်ဆောင်,ရုံးလျှော့,"ဝယ်သူ
 အမည်",ကုမ္ပဏီ,စုစုပေါင်း,"ဝယ်သူ
 အမည်",ကုမ္ပဏီ,စုစုပေါင်း,,,,,,"Kpay
 (ကိုယ်ပိုင်)",MM (QR),"AYA
(Pay)","KBZ
 (အကောင့်)","AYA
(အကောင့်)","MAB
(အကောင့်)",
,,,,,,,,,,,,,,,,,,,,,,
Electronic Products,,,,,,,,,,,,,,,,,,,,,,-
Fat-loss products,"43,000",,,,,,,,,,1,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Hair Care,"1,994,300",,,,,,,,,,76,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Makeup,"3,649,200",,,,,,,,,,103,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Perfume,"1,248,500",,,,,,,,,,12,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Sets Package,,,,,,,,,,,,,,,,,,,,,,-
Skin Care,"4,960,000",,,,,,,,,,97,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
ဆိုင်,"16,831,900",-,-,-,,,-,,,-,588,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ကုမ္ပဏီ + ဆိုင်,"47,111,440","1,232,389",-,-,,,"5,470,200",,,"1,834,200",973,,,,,,,,,,,
